"Image.Id","Period","Game.Clock","Player.or.Puck","Team","Player.Id","Rink.Location.X..Feet.","Rink.Location.Y..Feet.","Rink.Location.Z..Feet.","Goal.Score"
"2024-11-15 Team D @ Team C_063373",1,"20:00","Player","Home","55",-21.72778,-20.19429,1,NA
"2024-11-15 Team D @ Team C_063373",1,"20:00","Player","Home","55",-21.6935125,-20.1762475,1,NA
"2024-11-15 Team D @ Team C_063373",1,"20:00","Player","Home","55",-21.659245,-20.158205,1,NA
"2024-11-15 Team D @ Team C_063373",1,"20:00","Player","Home","55",-21.6249775,-20.1401625,1,NA
"2024-11-15 Team D @ Team C_063374",1,"20:00","Player","Home","55",-21.59071,-20.12212,1,NA
"2024-11-15 Team D @ Team C_063374",1,"20:00","Player","Home","55",-21.5518275,-20.11926,1,NA
"2024-11-15 Team D @ Team C_063374",1,"20:00","Player","Home","55",-21.512945,-20.1164,1,NA
"2024-11-15 Team D @ Team C_063374",1,"20:00","Player","Home","55",-21.4740625,-20.11354,1,NA
"2024-11-15 Team D @ Team C_063375",1,"20:00","Player","Home","55",-21.43518,-20.11068,1,NA
"2024-11-15 Team D @ Team C_063375",1,"20:00","Player","Home","55",-21.4100075,-20.10242,1,NA
"2024-11-15 Team D @ Team C_063375",1,"20:00","Player","Home","55",-21.384835,-20.09416,1,NA
"2024-11-15 Team D @ Team C_063375",1,"20:00","Player","Home","55",-21.3596625,-20.0859,1,NA
"2024-11-15 Team D @ Team C_063376",1,"20:00","Player","Home","55",-21.33449,-20.07764,1,NA
"2024-11-15 Team D @ Team C_063376",1,"20:00","Player","Home","55",-21.3148225,-20.0651525,1,NA
"2024-11-15 Team D @ Team C_063376",1,"20:00","Player","Home","55",-21.295155,-20.052665,1,NA
"2024-11-15 Team D @ Team C_063376",1,"20:00","Player","Home","55",-21.2754875,-20.0401775,1,NA
"2024-11-15 Team D @ Team C_063377",1,"20:00","Player","Home","55",-21.25582,-20.02769,1,NA
"2024-11-15 Team D @ Team C_063377",1,"20:00","Player","Home","55",-21.2727125,-20.03978,1,NA
"2024-11-15 Team D @ Team C_063377",1,"20:00","Player","Home","55",-21.289605,-20.05187,1,NA
"2024-11-15 Team D @ Team C_063377",1,"20:00","Player","Home","55",-21.3064975,-20.06396,1,NA
"2024-11-15 Team D @ Team C_063378",1,"20:00","Player","Home","55",-21.32339,-20.07605,1,NA
"2024-11-15 Team D @ Team C_063378",1,"20:00","Player","Home","55",-21.3139,-20.0748775,1,NA
"2024-11-15 Team D @ Team C_063378",1,"20:00","Player","Home","55",-21.30441,-20.073705,1,NA
"2024-11-15 Team D @ Team C_063378",1,"20:00","Player","Home","55",-21.29492,-20.0725325,1,NA
"2024-11-15 Team D @ Team C_063379",1,"20:00","Player","Home","55",-21.28543,-20.07136,1,NA
"2024-11-15 Team D @ Team C_063379",1,"20:00","Player","Home","55",-21.282675,-20.071895,1,NA
"2024-11-15 Team D @ Team C_063379",1,"20:00","Player","Home","55",-21.27992,-20.07243,1,NA
"2024-11-15 Team D @ Team C_063379",1,"20:00","Player","Home","55",-21.277165,-20.072965,1,NA
"2024-11-15 Team D @ Team C_063380",1,"19:59","Player","Home","55",-21.27441,-20.0735,1,NA
"2024-11-15 Team D @ Team C_063380",1,"19:59","Player","Home","55",-21.269445,-20.073195,1,NA
"2024-11-15 Team D @ Team C_063380",1,"19:59","Player","Home","55",-21.26448,-20.07289,1,NA
"2024-11-15 Team D @ Team C_063380",1,"19:59","Player","Home","55",-21.259515,-20.072585,1,NA
"2024-11-15 Team D @ Team C_063381",1,"19:59","Player","Home","55",-21.25455,-20.07228,1,NA
"2024-11-15 Team D @ Team C_063381",1,"19:59","Player","Home","55",-21.241925,-20.0647675,1,NA
"2024-11-15 Team D @ Team C_063381",1,"19:59","Player","Home","55",-21.2293,-20.057255,1,NA
"2024-11-15 Team D @ Team C_063381",1,"19:59","Player","Home","55",-21.216675,-20.0497425,1,NA
"2024-11-15 Team D @ Team C_063382",1,"19:59","Player","Home","55",-21.20405,-20.04223,1,NA
"2024-11-15 Team D @ Team C_063382",1,"19:59","Player","Home","55",-21.2002925,-20.0383725,1,NA
"2024-11-15 Team D @ Team C_063382",1,"19:59","Player","Home","55",-21.196535,-20.034515,1,NA
"2024-11-15 Team D @ Team C_063382",1,"19:59","Player","Home","55",-21.1927775,-20.0306575,1,NA
"2024-11-15 Team D @ Team C_063383",1,"19:59","Player","Home","55",-21.18902,-20.0268,1,NA
"2024-11-15 Team D @ Team C_063383",1,"19:59","Player","Home","55",-21.2123375,-20.054755,1,NA
"2024-11-15 Team D @ Team C_063383",1,"19:59","Player","Home","55",-21.235655,-20.08271,1,NA
"2024-11-15 Team D @ Team C_063383",1,"19:59","Player","Home","55",-21.2589725,-20.110665,1,NA
"2024-11-15 Team D @ Team C_063384",1,"19:59","Player","Home","55",-21.28229,-20.13862,1,NA
"2024-11-15 Team D @ Team C_063384",1,"19:59","Player","Home","55",-21.283045,-20.1300775,1,NA
"2024-11-15 Team D @ Team C_063384",1,"19:59","Player","Home","55",-21.2838,-20.121535,1,NA
"2024-11-15 Team D @ Team C_063384",1,"19:59","Player","Home","55",-21.284555,-20.1129925,1,NA
"2024-11-15 Team D @ Team C_063385",1,"19:59","Player","Home","55",-21.28531,-20.10445,1,NA
"2024-11-15 Team D @ Team C_063385",1,"19:59","Player","Home","55",-21.3114925,-20.1148975,1,NA
"2024-11-15 Team D @ Team C_063385",1,"19:59","Player","Home","55",-21.337675,-20.125345,1,NA
"2024-11-15 Team D @ Team C_063385",1,"19:59","Player","Home","55",-21.3638575,-20.1357925,1,NA
"2024-11-15 Team D @ Team C_063386",1,"19:59","Player","Home","55",-21.39004,-20.14624,1,NA
"2024-11-15 Team D @ Team C_063386",1,"19:59","Player","Home","55",-21.4154775,-20.1601925,1,NA
"2024-11-15 Team D @ Team C_063386",1,"19:59","Player","Home","55",-21.440915,-20.174145,1,NA
"2024-11-15 Team D @ Team C_063386",1,"19:59","Player","Home","55",-21.4663525,-20.1880975,1,NA
"2024-11-15 Team D @ Team C_063387",1,"19:59","Player","Home","55",-21.49179,-20.20205,1,NA
"2024-11-15 Team D @ Team C_063387",1,"19:59","Player","Home","55",-21.501995,-20.207005,1,NA
"2024-11-15 Team D @ Team C_063387",1,"19:59","Player","Home","55",-21.5122,-20.21196,1,NA
"2024-11-15 Team D @ Team C_063387",1,"19:59","Player","Home","55",-21.522405,-20.216915,1,NA
"2024-11-15 Team D @ Team C_063388",1,"19:59","Player","Home","55",-21.53261,-20.22187,1,NA
"2024-11-15 Team D @ Team C_063388",1,"19:59","Player","Home","55",-21.516085,-20.2139975,1,NA
"2024-11-15 Team D @ Team C_063388",1,"19:59","Player","Home","55",-21.49956,-20.206125,1,NA
"2024-11-15 Team D @ Team C_063388",1,"19:59","Player","Home","55",-21.483035,-20.1982525,1,NA
"2024-11-15 Team D @ Team C_063389",1,"19:59","Player","Home","55",-21.46651,-20.19038,1,NA
"2024-11-15 Team D @ Team C_063389",1,"19:59","Player","Home","55",-21.4832125,-20.20126,1,NA
"2024-11-15 Team D @ Team C_063389",1,"19:59","Player","Home","55",-21.499915,-20.21214,1,NA
"2024-11-15 Team D @ Team C_063389",1,"19:59","Player","Home","55",-21.5166175,-20.22302,1,NA
"2024-11-15 Team D @ Team C_063390",1,"19:59","Player","Home","55",-21.53332,-20.2339,1,NA
"2024-11-15 Team D @ Team C_063390",1,"19:59","Player","Home","55",-21.521105,-20.224005,1,NA
"2024-11-15 Team D @ Team C_063390",1,"19:59","Player","Home","55",-21.50889,-20.21411,1,NA
"2024-11-15 Team D @ Team C_063390",1,"19:59","Player","Home","55",-21.496675,-20.204215,1,NA
"2024-11-15 Team D @ Team C_063391",1,"19:59","Player","Home","55",-21.48446,-20.19432,1,NA
"2024-11-15 Team D @ Team C_063391",1,"19:59","Player","Home","55",-21.469525,-20.18156,1,NA
"2024-11-15 Team D @ Team C_063391",1,"19:59","Player","Home","55",-21.45459,-20.1688,1,NA
"2024-11-15 Team D @ Team C_063391",1,"19:59","Player","Home","55",-21.439655,-20.15604,1,NA
"2024-11-15 Team D @ Team C_063392",1,"19:59","Player","Home","55",-21.42472,-20.14328,1,NA
"2024-11-15 Team D @ Team C_063392",1,"19:59","Player","Home","55",-21.418815,-20.1389675,1,NA
"2024-11-15 Team D @ Team C_063392",1,"19:59","Player","Home","55",-21.41291,-20.134655,1,NA
"2024-11-15 Team D @ Team C_063392",1,"19:59","Player","Home","55",-21.407005,-20.1303425,1,NA
"2024-11-15 Team D @ Team C_063393",1,"19:59","Player","Home","55",-21.4011,-20.12603,1,NA
"2024-11-15 Team D @ Team C_063393",1,"19:59","Player","Home","55",-21.39608,-20.124605,1,NA
"2024-11-15 Team D @ Team C_063393",1,"19:59","Player","Home","55",-21.39106,-20.12318,1,NA
"2024-11-15 Team D @ Team C_063393",1,"19:59","Player","Home","55",-21.38604,-20.121755,1,NA
"2024-11-15 Team D @ Team C_063394",1,"19:59","Player","Home","55",-21.38102,-20.12033,1,NA
"2024-11-15 Team D @ Team C_063394",1,"19:59","Player","Home","55",-21.3832725,-20.1269675,1,NA
"2024-11-15 Team D @ Team C_063394",1,"19:59","Player","Home","55",-21.385525,-20.133605,1,NA
"2024-11-15 Team D @ Team C_063394",1,"19:59","Player","Home","55",-21.3877775,-20.1402425,1,NA
"2024-11-15 Team D @ Team C_063395",1,"19:59","Player","Home","55",-21.39003,-20.14688,1,NA
"2024-11-15 Team D @ Team C_063395",1,"19:59","Player","Home","55",-21.3723725,-20.12672,1,NA
"2024-11-15 Team D @ Team C_063395",1,"19:59","Player","Home","55",-21.354715,-20.10656,1,NA
"2024-11-15 Team D @ Team C_063395",1,"19:59","Player","Home","55",-21.3370575,-20.0864,1,NA
"2024-11-15 Team D @ Team C_063396",1,"19:59","Player","Home","55",-21.3194,-20.06624,1,NA
"2024-11-15 Team D @ Team C_063396",1,"19:59","Player","Home","55",-21.3186075,-20.04198,1,NA
"2024-11-15 Team D @ Team C_063396",1,"19:59","Player","Home","55",-21.317815,-20.01772,1,NA
"2024-11-15 Team D @ Team C_063396",1,"19:59","Player","Home","55",-21.3170225,-19.99346,1,NA
"2024-11-15 Team D @ Team C_063397",1,"19:59","Player","Home","55",-21.31623,-19.9692,1,NA
"2024-11-15 Team D @ Team C_063397",1,"19:59","Player","Home","55",-21.3110675,-19.9445625,1,NA
"2024-11-15 Team D @ Team C_063397",1,"19:59","Player","Home","55",-21.305905,-19.919925,1,NA
"2024-11-15 Team D @ Team C_063397",1,"19:59","Player","Home","55",-21.3007425,-19.8952875,1,NA
"2024-11-15 Team D @ Team C_063398",1,"19:59","Player","Home","55",-21.29558,-19.87065,1,NA
"2024-11-15 Team D @ Team C_063398",1,"19:59","Player","Home","55",-21.28708,-19.866905,1,NA
"2024-11-15 Team D @ Team C_063398",1,"19:59","Player","Home","55",-21.27858,-19.86316,1,NA
"2024-11-15 Team D @ Team C_063398",1,"19:59","Player","Home","55",-21.27008,-19.859415,1,NA
