Image Id,Period,Game Clock,Home_Player_Count,Away_Player_Count,Coverage_Percent
2024-11-16 Team F @ Team E_158278,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158279,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158280,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158281,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158282,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158283,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158284,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158285,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158286,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158287,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158288,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158289,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158290,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158291,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158292,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158293,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158294,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158295,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158296,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158297,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158298,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158299,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158300,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158301,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158302,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158303,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158304,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158305,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158306,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158307,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158308,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158309,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158310,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158311,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158312,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158313,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158314,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158315,2,18:43,3,3,0.0
2024-11-16 Team F @ Team E_158340,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158341,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158342,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158343,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158344,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158345,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158346,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158347,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158348,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158349,2,18:41,3,3,0.00039258158703026254
2024-11-16 Team F @ Team E_158350,2,18:41,3,3,3.557023331221364e-05
2024-11-16 Team F @ Team E_158351,2,18:41,3,3,0.0
2024-11-16 Team F @ Team E_158352,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158353,2,18:41,4,3,6.128024075893342e-06
2024-11-16 Team F @ Team E_158354,2,18:41,4,3,0.00020933918130955568
2024-11-16 Team F @ Team E_158355,2,18:41,4,3,3.7620595764009357e-06
2024-11-16 Team F @ Team E_158356,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158357,2,18:41,0,0,0.0
2024-11-16 Team F @ Team E_158358,2,18:41,4,2,0.0
2024-11-16 Team F @ Team E_158359,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158360,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158361,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158362,2,18:41,4,3,0.0
2024-11-16 Team F @ Team E_158363,2,18:41,5,3,0.0
2024-11-16 Team F @ Team E_158364,2,18:41,5,3,0.0
2024-11-16 Team F @ Team E_158365,2,18:41,3,2,0.0
2024-11-16 Team F @ Team E_158366,2,18:41,5,3,0.0
2024-11-16 Team F @ Team E_158367,2,18:41,5,3,0.0
2024-11-16 Team F @ Team E_158368,2,18:41,5,3,0.0
2024-11-16 Team F @ Team E_158369,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158370,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158371,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158372,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158373,2,18:40,4,3,0.0
2024-11-16 Team F @ Team E_158374,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158375,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158376,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158377,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158378,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158379,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158380,2,18:40,5,3,0.0
2024-11-16 Team F @ Team E_158381,2,18:40,5,3,0.0076887245117353165
2024-11-16 Team F @ Team E_158382,2,18:40,5,3,0.02150685561209841
2024-11-16 Team F @ Team E_158383,2,18:40,5,3,0.0368376335426226
2024-11-16 Team F @ Team E_158384,2,18:40,5,3,0.05275096004014189
2024-11-16 Team F @ Team E_158385,2,18:40,5,3,0.06571111736378109
2024-11-16 Team F @ Team E_158386,2,18:40,5,3,0.07444559151774689
2024-11-16 Team F @ Team E_158387,2,18:40,5,3,0.08131574380313068
2024-11-16 Team F @ Team E_158388,2,18:40,5,3,0.09214251062411737
2024-11-16 Team F @ Team E_158389,2,18:40,5,3,0.10385227669120273
2024-11-16 Team F @ Team E_158390,2,18:40,5,3,0.11098358139233341
2024-11-16 Team F @ Team E_158391,2,18:40,4,3,0.16076993391537472
2024-11-16 Team F @ Team E_158392,2,18:40,5,3,0.10977659477610727
2024-11-16 Team F @ Team E_158393,2,18:40,5,3,0.10838471815835723
2024-11-16 Team F @ Team E_158394,2,18:40,5,3,0.11028829195488535
2024-11-16 Team F @ Team E_158395,2,18:40,5,3,0.11402355165265901
2024-11-16 Team F @ Team E_158396,2,18:40,5,3,0.11594251696237957
2024-11-16 Team F @ Team E_158397,2,18:40,4,3,0.0579333873996832
2024-11-16 Team F @ Team E_158398,2,18:39,5,3,0.10822182282850858
2024-11-16 Team F @ Team E_158399,2,18:39,5,3,0.11121025803716696
2024-11-16 Team F @ Team E_158400,2,18:39,5,3,0.11327362844273303
2024-11-16 Team F @ Team E_158401,2,18:39,5,3,0.11679300422941348
2024-11-16 Team F @ Team E_158402,2,18:39,5,3,0.12105504380163792
2024-11-16 Team F @ Team E_158403,2,18:39,5,3,0.12419743851393811
2024-11-16 Team F @ Team E_158404,2,18:39,5,3,0.12541472077707597
2024-11-16 Team F @ Team E_158405,2,18:39,5,3,0.12817778472039115
2024-11-16 Team F @ Team E_158406,2,18:39,5,3,0.1284067652352581
2024-11-16 Team F @ Team E_158407,2,18:39,5,3,0.12650905122000566
2024-11-16 Team F @ Team E_158408,2,18:39,5,3,0.1278355727272925
2024-11-16 Team F @ Team E_158409,2,18:39,5,3,0.12929215606901534
2024-11-16 Team F @ Team E_158410,2,18:39,5,3,0.12974103565219933
2024-11-16 Team F @ Team E_158411,2,18:39,5,3,0.12970107025293265
2024-11-16 Team F @ Team E_158412,2,18:39,5,3,0.1284874771894474
2024-11-16 Team F @ Team E_158413,2,18:39,5,3,0.12867065891525986
2024-11-16 Team F @ Team E_158414,2,18:39,5,3,0.12821350576368945
2024-11-16 Team F @ Team E_158415,2,18:39,5,4,0.13163830554139547
2024-11-16 Team F @ Team E_158416,2,18:39,5,4,0.12738736816147403
2024-11-16 Team F @ Team E_158417,2,18:39,5,4,0.12621900316997015
2024-11-16 Team F @ Team E_158418,2,18:39,5,4,0.12487341682041249
2024-11-16 Team F @ Team E_158419,2,18:39,5,4,0.12295747045475504
2024-11-16 Team F @ Team E_158420,2,18:39,5,4,0.12247914385629911
2024-11-16 Team F @ Team E_158421,2,18:39,5,4,0.1195142061453007
2024-11-16 Team F @ Team E_158458,2,18:37,4,5,0.37459666467624786
2024-11-16 Team F @ Team E_158459,2,18:37,4,5,0.3736368134960961
2024-11-16 Team F @ Team E_158460,2,18:37,4,5,0.37025761012538516
